Id,quality
222,5
1514,6
417,5
754,5
516,5
1120,5
180,5
82,5
632,5
592,5
501,5
1586,5
1096,5
1101,5
1488,5
700,6
631,5
1022,5
1420,5
882,5
1170,5
911,5
124,5
1417,5
681,5
63,6
1010,5
418,6
399,6
1265,5
999,6
452,5
347,5
778,5
607,5
32,5
511,5
1035,5
1270,5
723,5
838,5
485,6
142,7
1470,6
1238,6
158,5
426,5
344,5
637,6
1578,5
944,5
469,6
148,5
279,5
1144,5
509,5
1073,5
1423,5
280,5
848,5
650,5
1092,5
76,5
1302,5
1148,5
100,5
533,5
1328,5
253,5
1344,5
544,5
352,5
1367,5
1300,5
635,6
750,5
1479,5
476,5
1355,5
546,7
196,5
1210,5
43,6
1013,5
1378,5
471,5
1410,6
1004,5
740,6
697,5
127,6
1069,5
1319,5
741,5
626,5
621,5
1195,5
339,5
556,5
162,5
1555,5
695,5
457,5
1045,5
12,5
524,5
489,5
453,5
1282,6
423,5
290,5
744,6
435,5
955,5
1055,5
819,5
302,5
455,5
1274,5
710,5
1568,5
72,6
156,6
86,5
1252,5
1280,5
1130,5
1499,6
1434,5
564,5
1559,5
396,5
1081,5
293,5
652,5
1312,6
120,5
220,5
1391,5
1324,5
492,5
427,5
596,5
771,6
538,5
107,6
1436,5
193,5
1370,5
843,6
506,5
388,5
197,5
655,5
1508,5
799,5
194,5
1414,5
1059,5
1487,6
565,5
1333,6
1250,5
871,5
421,6
1336,5
1224,5
813,5
249,6
721,5
1026,5
781,5
808,5
809,5
111,5
766,5
1070,5
497,5
292,5
1529,6
1060,5
56,5
42,5
1535,5
190,5
79,6
1219,5
1384,5
269,5
833,5
1379,5
551,5
947,5
3,5
934,5
749,5
1553,6
1036,5
1107,5
1168,5
1577,5
1291,5
578,5
85,5
1089,5
366,5
90,5
752,5
1590,7
617,5
146,5
241,5
790,5
1116,5
392,5
770,5
395,5
306,5
416,5
512,5
729,6
1415,7
677,6
793,5
94,6
466,5
96,5
325,5
1359,5
16,5
1076,5
900,5
1556,6
1057,5
877,6
953,5
1400,6
1127,6
260,5
608,5
1549,5
376,5
1048,5
1485,5
1471,6
1110,5
1493,5
1019,5
1078,5
1152,5
1395,5
1277,5
1321,5
1234,6
412,5
1111,5
335,5
1526,5
2,5
6,5
1281,5
745,5
1008,5
298,5
415,5
736,5
679,5
1220,5
439,5
989,5
500,5
1053,5
611,5
1335,5
595,5
361,5
35,5
1237,6
67,6
155,6
80,5
1147,5
296,6
170,6
1439,5
946,5
